Wall time,Step,Value
1722334776.1425397,4,161.10000610351562
1722334776.2887714,18,262.0
1722334778.0426557,40,172.60000610351562
1722334778.5373707,47,144.3000030517578
1722334779.6697545,62,180.39999389648438
1722334779.7499034,63,188.60000610351562
1722334780.354344,71,202.89999389648438
1722334780.8314216,77,342.70001220703125
1722334781.2163503,82,212.39999389648438
1722334781.7752182,89,209.5
1722334782.8658054,103,223.60000610351562
1722334783.1801183,107,250.3000030517578
1722334784.277414,121,236.8000030517578
1722334784.869376,128,181.39999389648438
1722334785.0290773,130,234.60000610351562
1722334787.1473336,157,234.3000030517578
1722334787.413435,160,203.89999389648438
1722334787.5901487,162,209.3000030517578
1722334787.753442,164,155.39999389648438
1722334788.3625808,172,205.10000610351562
1722334789.857767,191,228.39999389648438
1722334790.8173814,203,331.3999938964844
1722334790.9735925,205,205.60000610351562
1722334792.8315268,229,194.89999389648438
1722334793.9946644,244,188.39999389648438
1722334794.087929,245,263.6000061035156
1722334795.1897807,259,196.3000030517578
1722334796.1202617,271,295.20001220703125
1722334796.3569016,274,134.39999389648438
1722334797.0008948,282,289.0
1722334797.2452462,285,210.10000610351562
1722334798.0922713,295,250.60000610351562
1722334799.7321053,316,151.8000030517578
1722334799.961202,319,239.60000610351562
1722334800.2046168,322,234.10000610351562
1722334802.1054604,346,214.39999389648438
1722334803.0324845,358,255.8000030517578
1722334803.5033815,364,176.3000030517578
1722334803.6611788,366,292.29998779296875
1722334804.5992045,378,280.8999938964844
1722334805.2449799,386,291.20001220703125
1722334805.5599043,390,265.29998779296875
1722334806.4917493,402,374.5
1722334807.4835632,415,223.0
1722334808.0412612,422,237.89999389648438
1722334809.2228432,436,277.70001220703125
1722334809.296399,437,198.10000610351562
1722334809.4506583,439,225.8000030517578
1722334810.012122,446,180.8000030517578
1722334811.1842017,461,214.39999389648438
1722334811.4980595,465,178.5
1722334812.3026683,475,250.1999969482422
1722334812.6920378,480,309.20001220703125
1722334812.7859619,481,245.39999389648438
1722334813.2538288,487,185.39999389648438
1722334815.0633624,510,207.60000610351562
1722334815.2192576,512,299.5
1722334815.2972581,513,381.79998779296875
1722334815.6101358,517,172.3000030517578
1722334816.8711028,533,276.1000061035156
1722334817.2709465,538,112.5999984741211
1722334817.4244542,540,305.70001220703125
1722334818.3899817,552,282.6000061035156
1722334818.7248144,556,368.29998779296875
1722334819.200992,562,144.5
1722334821.4304416,590,335.0
1722334821.7498949,594,319.20001220703125
1722334821.9055974,596,190.10000610351562
1722334824.3900795,628,166.0
1722334824.4666953,629,179.1999969482422
1722334825.0745912,637,296.8999938964844
1722334825.5463011,643,177.39999389648438
1722334825.622775,644,207.89999389648438
1722334826.7417116,658,285.70001220703125
1722334827.4320025,667,224.10000610351562
1722334828.060488,675,300.3999938964844
1722334829.5248604,694,239.6999969482422
1722334831.6022134,721,233.89999389648438
1722334831.8990111,725,221.0
1722334833.3990195,744,177.39999389648438
1722334834.968805,764,324.1000061035156
1722334835.8342621,775,199.8000030517578
1722334835.9191868,776,246.8000030517578
1722334836.4367526,782,216.39999389648438
1722334836.9161098,788,147.89999389648438
1722334838.214128,804,265.5
1722334838.289137,805,383.6000061035156
1722334838.4413064,807,324.20001220703125
1722334839.479293,819,370.0
1722334840.5090818,832,234.39999389648438
1722334842.4783905,857,193.3000030517578
1722334843.2276144,866,214.60000610351562
1722334843.6379728,871,224.1999969482422
1722334844.8255525,886,342.6000061035156
1722334845.691034,897,270.29998779296875
1722334846.0150032,901,410.1000061035156
1722334848.3463645,930,399.3999938964844
1722334849.2821236,942,173.10000610351562
1722334849.8327749,949,201.6999969482422
1722334853.8150587,999,191.0
1722334854.0821059,1002,257.1000061035156
1722334854.234391,1004,209.0
1722334855.0809236,1015,241.1999969482422
1722334855.6213691,1022,295.5
1722334855.9196646,1026,313.79998779296875
1722334856.0735903,1028,295.5
1722334856.7952366,1037,347.3999938964844
1722334858.2678027,1056,306.6000061035156
1722334859.3360975,1070,437.3999938964844
1722334859.4178615,1071,389.29998779296875
1722334859.582217,1073,224.6999969482422
1722334859.8897529,1077,246.1999969482422
1722334860.6098168,1086,165.39999389648438
1722334861.552538,1098,339.1000061035156
1722334861.8684633,1102,265.0
1722334862.0211139,1104,162.6999969482422
1722334862.4198132,1109,190.10000610351562
1722334862.5815208,1111,283.6000061035156
1722334863.38725,1121,139.8000030517578
1722334863.713303,1125,229.3000030517578
1722334864.2566316,1132,202.89999389648438
1722334864.4088147,1134,222.3000030517578
1722334865.347334,1146,287.5
1722334865.7617123,1151,182.5
1722334865.8408096,1152,223.10000610351562
1722334866.7768261,1164,206.6999969482422
1722334867.5705817,1174,216.5
1722334867.7388384,1176,281.79998779296875
1722334868.4044826,1184,256.70001220703125
1722334869.1505537,1193,214.10000610351562
1722334869.2290804,1194,206.39999389648438
1722334871.1379006,1218,177.8000030517578
1722334871.7017405,1225,318.6000061035156
1722334873.345696,1246,240.39999389648438
1722334873.736991,1251,302.29998779296875
1722334873.814667,1252,300.0
1722334873.9726539,1254,285.3999938964844
1722334874.219704,1257,199.3000030517578
1722334874.5823603,1261,210.3000030517578
1722334875.0476265,1267,306.1000061035156
1722334875.351305,1271,212.10000610351562
1722334875.7339458,1276,240.89999389648438
1722334877.473738,1298,233.10000610351562
1722334878.1241314,1306,193.39999389648438
1722334879.3955798,1322,233.6999969482422
1722334879.6401196,1325,254.60000610351562
1722334881.2544048,1345,395.1000061035156
1722334882.3987164,1360,312.70001220703125
1722334882.7541027,1364,293.8999938964844
1722334883.6499553,1375,282.5
1722334883.7324297,1376,149.1999969482422
1722334886.9888864,1417,263.20001220703125
1722334888.6749778,1438,301.20001220703125
1722334888.7587078,1439,322.3999938964844
1722334890.1822112,1457,210.3000030517578
1722334890.2568793,1458,346.3999938964844
1722334891.520134,1474,194.5
1722334891.6771848,1476,454.79998779296875
1722334892.8129687,1490,222.10000610351562
1722334893.1239495,1494,226.1999969482422
1722334893.7414956,1502,297.79998779296875
1722334894.3757734,1510,283.79998779296875
1722334894.6148076,1513,242.8000030517578
1722334894.857779,1516,491.5
1722334896.0188942,1528,229.39999389648438
1722334898.0882952,1548,180.0
1722334898.3961492,1551,300.20001220703125
1722334899.8157687,1565,322.79998779296875
1722334900.1035357,1568,292.3999938964844
1722334900.5864875,1573,255.5
1722334900.8816202,1576,187.60000610351562
1722334901.7893443,1585,299.29998779296875
1722334902.829253,1596,307.20001220703125
1722334903.3524938,1601,208.39999389648438
1722334903.556692,1603,266.3999938964844
1722334906.0280156,1627,322.5
1722334906.8293571,1635,236.1999969482422
1722334907.0302143,1637,304.5
1722334910.7403085,1670,278.29998779296875
1722334911.6112182,1679,305.3999938964844
1722334912.2314453,1685,258.6000061035156
1722334913.112176,1694,416.8999938964844
1722334913.9405155,1702,330.79998779296875
1722334914.1369781,1704,267.3999938964844
1722334914.4331927,1707,306.20001220703125
1722334914.8271356,1711,525.5
1722334915.534652,1718,245.89999389648438
1722334918.2777953,1745,218.0
1722334921.3178189,1775,181.39999389648438
1722334921.5147648,1777,303.5
1722334922.7585075,1789,283.79998779296875
1722334923.0631614,1792,302.5
1722334923.8528476,1800,176.39999389648438
1722334928.4478056,1847,306.29998779296875
1722334928.9017203,1851,288.79998779296875
1722334929.7952456,1860,330.8999938964844
1722334930.2383358,1865,179.0
1722334930.4104095,1867,356.70001220703125
1722334932.3279521,1888,255.0
1722334933.3350549,1899,293.3999938964844
1722334933.564356,1902,257.0
1722334934.0745964,1908,336.79998779296875
1722334934.1700048,1909,325.70001220703125
1722334935.6119401,1924,306.8999938964844
1722334936.7716815,1936,293.29998779296875
1722334937.1439986,1940,292.79998779296875
1722334937.6402733,1945,362.1000061035156
1722334937.8399298,1947,286.20001220703125
1722334939.1119661,1960,297.1000061035156
1722334939.2359834,1961,418.79998779296875
1722334939.7366695,1966,331.8999938964844
1722334940.8248312,1977,411.20001220703125
1722334941.0187533,1979,172.1999969482422
1722334941.8065684,1987,367.29998779296875
1722334949.8020227,2070,540.0999755859375
