episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,91,5,1,9,9.5,0,4.9,9,4,7,2,2,5,3,9,5,0,47,0,9,9.5,0,2.9,8,7,6,8,2,3,3,7,3,0,50,0,9,9.0,1,-0.2,9,8,2,6,4,6,2,4,7,0,94,0,9,9.5,0,5.9,3,5,2,5,7,6,7,8,2,0,96,0,9,9.5,0,3.9,4,1,2,4,9,3,6,5,2,0
0,1,73,5,1,8,8.5,1,0.0,4,7,2,2,5,3,9,5,0,0,39,0,8,9.0,0,7.9,7,6,8,2,3,3,7,3,0,0,50,0,8,8.0,1,-0.2,8,2,6,4,6,2,4,7,0,0,91,0,8,9.0,0,2.9,5,2,5,7,6,7,8,2,0,0,92,1,8,9.0,0,3.9,1,2,4,9,3,6,5,2,0,0
0,2,61,1,1,7,8.0,0,3.9,7,2,2,5,3,9,5,0,0,0,39,0,7,8.0,1,-0.2,6,8,2,3,3,7,3,0,0,0,42,0,7,7.5,0,7.9,2,6,4,6,2,4,7,0,0,0,91,0,7,8.0,1,-0.2,2,5,7,6,7,8,2,0,0,0,91,1,7,8.5,0,0.9,2,4,9,3,6,5,2,0,0,0
0,3,53,0,1,6,7.5,0,-0.2,2,2,5,3,9,5,0,0,0,0,39,0,6,7.0,1,-0.2,8,2,3,3,7,3,0,0,0,0,40,0,6,7.0,0,1.9,6,4,6,2,4,7,0,0,0,0,91,0,6,7.0,1,-0.2,5,7,6,7,8,2,0,0,0,0,89,1,6,8.0,0,1.9,4,9,3,6,5,2,0,0,0,0
0,4,44,0,1,5,7.0,0,-0.2,2,5,3,9,5,0,0,0,0,0,31,0,5,6.5,0,7.9,2,3,3,7,3,0,0,0,0,0,34,0,5,6.5,0,5.9,4,6,2,4,7,0,0,0,0,0,91,0,5,6.0,1,-0.2,7,6,7,8,2,0,0,0,0,0,89,0,5,7.0,1,3.8,9,3,6,5,2,0,0,0,0,0
0,5,28,0,1,4,6.5,0,-0.2,5,3,9,5,0,0,0,0,0,0,29,1,4,6.0,0,1.9,3,3,7,3,0,0,0,0,0,0,30,0,4,6.0,0,3.9,6,2,4,7,0,0,0,0,0,0,91,0,4,5.0,1,-0.2,6,7,8,2,0,0,0,0,0,0,89,0,4,6.0,1,-0.2,3,6,5,2,0,0,0,0,0,0
0,6,25,0,1,3,6.0,0,-0.2,3,9,5,0,0,0,0,0,0,0,29,1,3,5.0,1,2.8,3,7,3,0,0,0,0,0,0,0,24,0,3,5.5,0,5.9,2,4,7,0,0,0,0,0,0,0,85,0,3,4.5,0,5.9,7,8,2,0,0,0,0,0,0,0,86,1,3,5.5,0,2.9,6,5,2,0,0,0,0,0,0,0
0,7,17,0,1,2,5.0,1,0.0,9,5,0,0,0,0,0,0,0,0,29,1,2,4.0,1,2.8,7,3,0,0,0,0,0,0,0,0,24,1,2,4.5,1,-0.2,4,7,0,0,0,0,0,0,0,0,78,0,2,4.0,0,6.9,8,2,0,0,0,0,0,0,0,0,80,1,2,5.0,0,5.9,5,2,0,0,0,0,0,0,0,0
0,8,6,0,0,1,4.5,0,-0.2,5,0,0,0,0,0,0,0,0,0,29,1,1,3.0,1,6.8,3,0,0,0,0,0,0,0,0,0,24,1,1,3.5,1,3.8,7,0,0,0,0,0,0,0,0,0,70,0,1,3.5,0,7.9,2,0,0,0,0,0,0,0,0,0,75,0,1,4.5,0,4.9,2,0,0,0,0,0,0,0,0,0
0,9,4,0,0,0,4.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,26,1,0,2.5,0,2.9,0,0,0,0,0,0,0,0,0,0,17,1,0,3.0,0,6.9,0,0,0,0,0,0,0,0,0,0,70,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,73,0,0,4.0,0,1.9,0,0,0,0,0,0,0,0,0,0
1,0,84,10,0,9,9.0,1,6.8,5,8,1,3,9,5,9,7,2,0,40,0,9,9.5,0,9.9,1,3,8,9,8,7,3,4,7,0,48,0,9,9.5,0,1.9,9,10,1,2,4,2,5,8,4,0,100,0,9,9.0,1,8.8,10,10,7,4,4,1,2,8,10,0,99,1,9,9.5,0,0.9,6,1,6,8,1,5,9,10,2,0
1,1,69,10,0,8,8.0,1,-0.2,8,1,3,9,5,9,7,2,0,0,40,0,8,8.5,1,-0.2,3,8,9,8,7,3,4,7,0,0,48,0,8,8.5,1,-0.2,10,1,2,4,2,5,8,4,0,0,90,0,8,8.5,0,9.9,10,7,4,4,1,2,8,10,0,0,93,1,8,9.0,0,5.9,1,6,8,1,5,9,10,2,0,0
1,2,55,2,0,7,7.5,0,7.9,1,3,9,5,9,7,2,0,0,0,40,0,7,7.5,1,-0.2,8,9,8,7,3,4,7,0,0,0,48,0,7,7.5,1,-0.2,1,2,4,2,5,8,4,0,0,0,80,0,7,8.0,0,9.9,7,4,4,1,2,8,10,0,0,0,93,0,7,8.0,1,0.8,6,8,1,5,9,10,2,0,0,0
1,3,34,1,0,6,7.0,0,0.9,3,9,5,9,7,2,0,0,0,0,40,0,6,6.5,1,-0.2,9,8,7,3,4,7,0,0,0,0,47,0,6,7.0,0,0.9,2,4,2,5,8,4,0,0,0,0,80,0,6,7.0,1,-0.2,4,4,1,2,8,10,0,0,0,0,93,0,6,7.0,1,-0.2,8,1,5,9,10,2,0,0,0,0
1,4,32,0,0,5,6.5,0,-0.2,9,5,9,7,2,0,0,0,0,0,31,0,5,6.0,0,8.9,8,7,3,4,7,0,0,0,0,0,47,0,5,6.0,1,-0.2,4,2,5,8,4,0,0,0,0,0,76,0,5,6.5,0,3.9,4,1,2,8,10,0,0,0,0,0,85,0,5,6.5,0,7.9,1,5,9,10,2,0,0,0,0,0
1,5,16,0,0,4,6.0,0,-0.2,5,9,7,2,0,0,0,0,0,0,31,1,4,5.0,1,-0.2,7,3,4,7,0,0,0,0,0,0,47,0,4,5.0,1,-0.2,2,5,8,4,0,0,0,0,0,0,76,0,4,5.5,1,-0.2,1,2,8,10,0,0,0,0,0,0,84,0,4,6.0,0,0.9,5,9,10,2,0,0,0,0,0,0
1,6,11,0,0,3,5.0,1,-0.2,9,7,2,0,0,0,0,0,0,0,24,0,3,4.5,0,6.9,3,4,7,0,0,0,0,0,0,0,45,0,3,4.5,0,1.9,5,8,4,0,0,0,0,0,0,0,75,0,3,5.0,0,0.9,2,8,10,0,0,0,0,0,0,0,79,1,3,5.5,0,4.9,9,10,2,0,0,0,0,0,0,0
1,7,11,0,0,2,4.5,0,-0.2,7,2,0,0,0,0,0,0,0,0,21,0,2,4.0,0,2.9,4,7,0,0,0,0,0,0,0,0,40,0,2,4.0,0,4.9,8,4,0,0,0,0,0,0,0,0,73,0,2,4.5,0,1.9,8,10,0,0,0,0,0,0,0,0,70,1,2,5.0,0,8.9,10,2,0,0,0,0,0,0,0,0
1,8,3,0,1,1,4.0,0,-0.2,2,0,0,0,0,0,0,0,0,0,17,0,1,3.5,0,3.9,7,0,0,0,0,0,0,0,0,0,40,0,1,3.0,1,-0.2,4,0,0,0,0,0,0,0,0,0,65,0,1,4.0,0,7.9,10,0,0,0,0,0,0,0,0,0,60,1,1,4.5,0,9.9,2,0,0,0,0,0,0,0,0,0
